headliner_name,event_date,event_venue,event_status,venue_address,artist_genre,ticket_link,n_listeners,artist_playcount,top_album,album_playcount
Keith Sweat,2024-01-13,Smart Financial Centre at Sugar Land,scheduled,"18111 Lexington Blvd., Sugar Land Texas 77479","['funk', 'hip-hop-rap', 'rhythm-and-blues-soul']",https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.smartfinancialcentre.net%2Fevents%2Fkeith-sweat%2Fcalendar%2F,202928,1400620,Keith Sweat,633283.0
Kem,2024-01-13,Texas Trust CU Theatre at Grand Prairie,scheduled,"1001 Performance Place, Grand Prairie Texas 75070",['rhythm-and-blues-soul'],https://www.axs.com/events/513162/kem-tickets?cid=usaffjambase&utm_source=jambase&utm_campaign=jambase,202928,1400620,Album II,478797.0
San Holo,2024-01-13,11:11,scheduled,"9740 Dyer St Suite #117, El Paso Texas 79924","['edm', 'indie', 'pop']",https://11eleveneptx.com/?utm_source=jambase,202928,1400620,album1,1155744.0
Mr. Big,2024-01-13,The Factory in Deep Ellum,scheduled,"2713 Canton Street, Dallas Texas 75226","['metal', 'pop', 'rock']",https://www.axs.com/events/495472/mr-big-tickets?cid=usaffjambase&utm_source=jambase&utm_campaign=jambase,202928,1400620,Lean Into It,1280663.0
Robert Earl Keen,2024-01-13,Bass Performance Hall,scheduled,"330 E 4th Street, Fort Worth Texas 76102","['country-music', 'folk', 'rock']",http://basshall.com?utm_source=jambase,202928,1400620,Live From Austin TX,173356.0
The Lone Bellow,2024-01-13,Paramount Theatre,scheduled,"713 Congress, Austin Texas 78701","['americana', 'folk', 'indie']",https://www.austintheatre.org/about-us/paramount-theatre?utm_source=jambase,202928,1400620,The Lone Bellow,519928.0
Mike Ryan,2024-01-13,House of Blues,scheduled,"1204 Caroline St, Houston Texas 77002",['country-music'],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fconcerts.livenation.com%2Fmike-ryan-houston-texas-01-13-2024%2Fevent%2F3A005F53D8843FEB,202928,1400620,Blink You'll Miss It,111473.0
Levi Hummon,2024-01-13,The Cambridge Room at House Of Blues,scheduled,"2200 N. Lamar Street, Dallas Texas 75202",['country-music'],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fconcerts.livenation.com%2Flevi-hummon-dallas-texas-01-13-2024%2Fevent%2F0C005F63805F3011,202928,1400620,Stupid,18640.0
Tom and Collins,2024-01-13,Lost & Found,scheduled,"2519 N. Stanton St., El Paso Texas 79902",['edm'],https://link.dice.fm/x7a8ec0e11ab,202928,1400620,Neuro House Version Driver,4.0
Jackie Venson,2024-01-13,Antone’s,scheduled,"305 E 5th St, Austin Texas 78701",['folk'],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fjackie-venson-austin-texas-01-13-2024%2Fevent%2F3A005F36EA5B6372,202928,1400620,Joy,20933.0
Davy Knowles,2024-01-13,Sam’s Burger Joint,scheduled,"330 East Grayson Street, San Antonio Texas 78215","['blues', 'rock']",http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=575876&afflky=369NMM,202928,1400620,The Outsider,26551.0
James Kennedy,2024-01-13,Live Arena,scheduled,"1650 E. Randol Mill Road, Arlington Texas 76011",[],https://www.axs.com/events/510171/the-drop-james-kennedy-tickets?cid=usaffjambase&utm_source=jambase&utm_campaign=jambase,202928,1400620,Feeling You,2415.0
Kyle Smith,2024-01-13,Empire Control Room,scheduled,"606 E. 7th Street, Austin Texas ",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=574521&afflky=369NMM,202928,1400620,Beto's Quest for Knowledge,5472.0
Sofar Sounds Houston Secret Concert,2024-01-13,Sofar Sounds The Heights,scheduled,", Houston Texas ",[],https://sofarsounds.sjv.io/c/252938/1332467/16078?u=https://www.sofarsounds.com/events/53038,202928,1400620,,
The Pink Floyd Laser Spectacular,2024-01-13,Bayou Music Center,scheduled,"520 Texas Ave, Houston Texas 77002",[],http://bayoumusiccenter.com/?utm_source=jambase,202928,1400620,,
Bricks In The Wall (Pink Floyd Tribute),2024-01-13,Arlington Music Hall,scheduled,"224 N Center St, Arlington Texas 76011",[],https://arlingtonmusichall.net/?utm_source=jambase,202928,1400620,,
Darren Nicholson,2024-01-13,The Main Hall at the Coppell Arts Center,scheduled,"505 Travis Street, Coppell Texas 75019",[],https://www.coppellartscenter.org/?utm_source=jambase,202928,1400620,Arkansas Without You,351.0
Keith Sweat,2024-01-14,Texas Trust CU Theatre at Grand Prairie,scheduled,"1001 Performance Place, Grand Prairie Texas 75070","['funk', 'hip-hop-rap', 'rhythm-and-blues-soul']",https://www.axs.com/events/513216/keith-sweat-tickets?cid=usaffjambase&utm_source=jambase&utm_campaign=jambase,202928,1400620,Keith Sweat,633283.0
The Lone Bellow,2024-01-14,Granada Theater,scheduled,"3524 Greenville Ave, Dallas Texas 75206","['americana', 'folk', 'indie']",https://www.granadatheater.com/?utm_source=jambase,202928,1400620,The Lone Bellow,519928.0
The Panhandlers,2024-01-14,Wagner Noel Performing Arts Center,scheduled,"1310 N. FM1788, Midland Texas 78611",['country-music'],https://etix.prf.hn/click/camref:1101lGKCg/destination:https://www.etix.com/ticket/p/64620329/the-panhandlers-midland-wagner-no%C3%ABl-performing-arts-center,202928,1400620,The Panhandlers,80150.0
Dallas Symphony Orchestra,2024-01-14,Greenville Municipal Auditorium,scheduled,"2821 Washington St, Greenville Texas 75401",['classical'],https://etix.prf.hn/click/camref:1101lGKCg/destination:https://www.etix.com/ticket/p/4646174/dso-on-the-go-greenville-greenville-municipal-auditorium?utm_source=jambase&utm_campaign=jambase,202928,1400620,An American Tapestry,877.0
Itzhak Perlman,2024-01-15,Winspear Opera House,scheduled,"2403 Flora Street, Dallas Texas 75201",['classical'],http://www.attpac.org/?utm_source=jambase,202928,1400620,Vivaldi-The Four Seasons and Violin Concertos,737924.0
Colter Wall,2024-01-16,The Buddy Holly Hall of Performing Arts and Sciences,scheduled,"1300 Mac Davis Lane, Lubbock Texas 79401","['country-music', 'folk']",https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.etix.com%2Fticket%2Fp%2F96351369%2Fcolter-wallthe-little-songs-tour-lubbock-the-buddy-holly-hall-helen-devitt-jones-theater,202928,1400620,Imaginary Appalachia,2342021.0
Zakk Sabbath,2024-01-16,Granada Theater,scheduled,"3524 Greenville Ave, Dallas Texas 75206",[],https://www.granadatheater.com/?utm_source=jambase,202928,1400620,Vertigo,6957.0
Albert Castiglia,2024-01-16,Antone’s,scheduled,"305 E 5th St, Austin Texas 78701","['blues', 'rock']",https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Falbert-castiglia-austin-texas-01-16-2024%2Fevent%2F3A005F51C12D2AA7,202928,1400620,A Stone's Throw,14344.0
The Damn Torpedoes,2023-12-31,Sam’s Burger Joint,scheduled,"330 East Grayson Street, San Antonio Texas 78215",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=562846&afflky=369NMM,202928,1400620,,
HeartByrne,2023-12-31,3TEN Austin City Limits Live,scheduled,"310 Willie Nelson Blvd, Suite 1A, Austin Texas 78701",[],https://3tenaustin.com/?utm_source=jambase,202928,1400620,Talking heads Hoot - Antone's,30.0
Emma Hewitt,2023-12-21,Stereo Live Dallas,scheduled,"2711 Storey Ln, Dallas Texas 75220",['edm'],https://www.eventbrite.com/e/emma-hewitt-w-adam-stark-tensteps-stereo-live-dallas-tickets-695682443917,202928,1400620,Burn the Sky Down,477853.0
Mystery Skulls,2023-12-28,Last Concert Cafe,scheduled,"1403 Nance St, Houston Texas 77002",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=573683&afflky=369NMM,202928,1400620,Forever,1713207.0
Soulhat,2023-12-23,Antone’s,scheduled,"305 E 5th St, Austin Texas 78701",[],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fsoulhat-austin-texas-12-23-2023%2Fevent%2F3A005F2CC6F23042,202928,1400620,Good To Be Gone,21259.0
Juan Gotti,2023-12-23,Scout Bar,scheduled,"18307 Egret Bay Blvd., Houston Texas 77058",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=575353&afflky=369NMM,202928,1400620,John Ghetto,56857.0
Edgar Blue,2023-12-26,Three Links Event Center,scheduled,"2704 Elm St, Dallas Texas 75303",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=525366&afflky=369NMM,202928,1400620,,
Toadies,2023-12-27,Emo’s Austin,scheduled,"2015 E Riverside Dr, Austin Texas 78741","['metal', 'pop', 'rock']",https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fconcerts.livenation.com%2Ftoadies-with-local-h-austin-texas-12-27-2023%2Fevent%2F3A005F25B5282347,202928,1400620,Rubberneck,2653563.0
Billy Gibbons,2023-12-27,Antone’s,scheduled,"305 E 5th St, Austin Texas 78701",[],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fthe-jungle-show-gibbons-vaughan-foley-austin-texas-12-27-2023%2Fevent%2F3A005F3BA77925FC,202928,1400620,(null),18036.0
Louie TheSinger,2023-12-27,Billy Bobs,scheduled,"2520 Rodeo Plz, Fort Worth Texas 76164",[],https://www.axs.com/events/502754/louie-thesinger-tickets?cid=usaffjambase&utm_source=jambase&utm_campaign=jambase,202928,1400620,Down Here,2831.0
Matt Kirk and The Güeyfarers,2023-12-27,Sam’s Burger Joint,scheduled,"330 East Grayson Street, San Antonio Texas 78215",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=573201&afflky=369NMM,202928,1400620,Matt Kirk and The Güeyfarers,78.0
K.Flay,2023-12-28,Paper Tiger,scheduled,"2410 N St Mary's St, San Antonio Texas 78212","['hip-hop-rap', 'indie', 'pop', 'rock']",http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=574069&afflky=369NMM,202928,1400620,Every Where Is Some Where,5160090.0
Toadies,2023-12-28,The Aztec Theatre,scheduled,"201 E Commerce St, San Antonio Texas 78205","['metal', 'pop', 'rock']",https://ticketmaster.evyy.net/c/252938/264167/4272?u=https%3A%2F%2Fconcerts.livenation.com%2Ftoadies-san-antonio-texas-12-28-2023%2Fevent%2F3A005F26FA97401A,202928,1400620,Rubberneck,2653563.0
